abaĵuro 	Noun 	(archaic) lampshade 	From French abat-jour. 	 
kiom 	Adverb 	how much (interrogative and relative correlative of quantity) 	ki- (“interrogative and relative correlative prefix”) + -om (“correlative suffix of quantity”) 	 
kioma 	Adjective 	which, of what number, how many, how much 	kiom +‎ -a 	 
kial 	Adverb 	why 	ki- (“interrogative and relative correlative prefix”) + -al (“correlative suffix of reason”) 	 
kialo 	Noun 	reason (for doing something) 	From kial (“why”) +‎ -o (noun ending). 	 
kitino 	Noun 	(biochemistry) chitin 	From French chitine, from Latin chitōn (“mollusk”). 	 
klimato 	Noun 	(weather) climate 	Borrowed from French climat  +‎ -o. 	 
alklimatigi 	Verb 	(transitive) to acclimatize (make used to new climate, cause s.o./s.th. to get used to a new climate) 	From al- +‎ klimato (“climate”) +‎ -igi. 	 
alklimatiĝi 	Verb 	(intransitive) to acclimatize (get used to a new climate) 	From al- +‎ klimato (“climate”) +‎ -iĝi. 	 
kliŝo 	Noun 	cliché 	Borrowed from French cliché. 	 
kofro 	Noun 	trunk, chest 	From French coffre. 	 
kokcinelo 	Noun 	ladybird, ladybug 	French coccinelle and Italian coccinella 	 
koko 	Noun 	chicken 	From French coq and English cock 	 
koleri 	Verb 	to be angry 	From French colère, Italian collera. 	 
kolero 	Noun 	anger, rage, ire 	From French colère. 	 
kolibro 	Noun 	hummingbird 	From French and Italian colibri, German Kolibri, Russian коли́бри (kolíbri). 	 
komerco 	Noun 	commerce, business 	From French commerce, Italian commercio, English commerce, Russian коммерция (kommercija), ultimately from Latin commercium. 	 
komerca 	Adjective 	commercial, mercantile 	komerco +‎ -a 	 
komercado 	Noun 	trading 	komerco +‎ -ado 	 
komerce 	Adverb 	commercially 	komerca +‎ -e 	 
komercebla 	Adjective 	tradable 	From komerci +‎ -ebla. 	 
komerci 	Verb 	(intransitive) to trade 	From komerco +‎ -i. 	 
komercaĵo 	Noun 	wares, merchandise 	From komerci +‎ -aĵo. 	 
komercebla 	Adjective 	tradable 	From komerci +‎ -ebla. 	 
komercisto 	Noun 	merchant, trader 	komerci (“to trade”) +‎ -isto (“professional”) 	 
komercisto 	Noun 	merchant, trader 	komerci (“to trade”) +‎ -isto (“professional”) 	 
kompreni 	Verb 	(transitive) to understand 	From French comprendre, Latin comprehendere. 	 
ekkompreni 	Verb 	to realize, suddenly understand or start to understand 	From ek- +‎ kompreni. 	 
komprenado 	Noun 	understanding, comprehension 	From kompreni +‎ -ado. 	 
komprenebla 	Adjective 	understandable 	From kompreni (“to understand”) +‎ -ebla (“able”). 	 
kompreneble 	Adverb 	of course 	From kompreni +‎ -eble. 	 
komprenigi 	Verb 	(transitive) to make understand, cause to understand: clarify 	From kompreni +‎ -igi. 	 
komuna 	Adjective 	common, shared 	From French commun, Italian comune, ultimately from Latin commūnis. 	 
komunumo 	Noun 	community, commune 	komuna (“common”) +‎ -um- +‎ -o (“noun”) 	 
kondukpermesilo 	Noun 	driving licence, driver's license 	Compound of konduki +‎ permesilo, calque of  French permis de conduire. 	 
koni 	Verb 	(transitive) to be well acquainted with, be familiar with, know 	From French connaître, influenced by English know and German kennen. 	 
konigi 	Verb 	(transitive) to make known, reveal 	From koni +‎ -igi. 	 
konjako 	Noun 	cognac 	From French cognac. 	 
konkuri 	Verb 	to compete 	Borrowed from French concurrent (“competitive”). 	 
konsenti 	Verb 	(intransitive) to agree, consent 	From French consentir, Italian consentire, ultimately from Latin cōnsentīre, present active infinitive of cōnsentiō (“I agree, accord, harmonize; I assent to”). 	 
konstati 	Verb 	to establish, ascertain 	Compare Danish konstatere and German konstatieren, both from French constater. 	 
konstrui 	Verb 	to build 	From French construire, Latin construere. 	 
alkonstrui 	Verb 	to add, build (onto an existing structure) 	From al- +‎ konstrui. 	 
kontenta 	Adjective 	satisfied, pleased, content 	From French and English content, Italian contento. 	 
kontentigi 	Verb 	(transitive) to satisfy 	From kontenta +‎ -igi. 	 
kontentigo 	Noun 	satisfaction 	From kontentigi +‎ -o. 	 
kontinento 	Noun 	(geography) continent 	From English and French continent, from Latin continēns, continentis. 	 
kontroli 	Verb 	(transitive) to check; to check up; to supervise; to verify 	From French contrôler, Italian controllare, German kontrollieren. 	 
konveni 	Verb 	to suit, be convenient (for) 	From French convenir. 	 
koŝmaro 	Noun 	nightmare 	Borrowed from French cauchemar and Russian кошма́р (košmár). 	 
kovri 	Verb 	(transitive) to cover 	From French couvrir. 	 
krabo 	Noun 	crab 	Polish krab, Russian краб (krab), German Krabbe, English crab and French crabe. 	 
kraĉi 	Verb 	to spit 	From French cracher. 	 
kraki 	Verb 	to crack, crackle 	From French craquer, German krachen, English crack. 	 
krampo 	Noun 	clamp 	From French crampe 	 
kreteno 	Noun 	cretin 	From French crétin. 	 
krii 	Verb 	(intransitive) to cry, shout, yell 	From French crier. 	 
alkrii 	Verb 	to shout at, yell at, cry out to 	From al- +‎ krii. 	 
ekkrii 	Verb 	(intransitive) to cry out 	ek- +‎ krii 	 
kriaĉi 	Verb 	to screech 	krii (“to cry; to shout”) +‎ -aĉ- 	 
krokizo 	Noun 	(rare) sketch, etching, rough draught 	Borrowed from French croquis. 	 
kruĉo 	Noun 	jug 	Borrowed from French cruche, from Frankish [Term?]. 	 
kafkruĉo 	Noun 	coffee pot 	From kafo (“coffee”) +‎ kruĉo (“jug, pot”). 	 
kudri 	Verb 	to sew 	Borrowed from French coudre  +‎ -i. 	 
alkudri 	Verb 	to sew on 	From al- +‎ kudri. 	 
kudrilo 	Noun 	needle 	From kudri +‎ -ilo. 	 
kudristo 	Noun 	tailor 	kudri +‎ -isto 	 
kudromaŝino 	Noun 	sewing machine 	From kudri (“to sew”) +‎ maŝino (“machine”). 	 
kunkudri 	Verb 	to sew together 	From kun- (“together”) +‎ kudri (“to sew”). 	 
rekudri 	Verb 	to re-sew 	re- +‎ kudri 	 
kuiri 	Verb 	(transitive) to cook 	Borrowed from French cuire  +‎ -i (verbal infinitive ending). 	 
kuiranto 	Noun 	one who is cooking, a cook 	  	 
kuirejo 	Noun 	kitchen 	From kuiri (“to cook”) +‎ -ejo (“place”). 	 
kuiristo 	Noun 	a cook (by profession) 	From kuiri (“to cook”) +‎ -isto (“professional”). 	 
ĉefkuiristo 	Noun 	chef 	From ĉef- +‎ kuiristo (“cook”, noun). 	 
kuirpoto 	Noun 	cooking pot 	kuiri +‎ poto 	 
kulti 	Verb 	(transitive) to worship, idolize 	From English cult and French culte, from Latin cultus (“care, adoration; cult”) + -i. 	 
kupeo 	Noun 	compartment (in a train) 	From French coupé. 	 
kuraĝa 	Adjective 	brave, courageous 	From French courageux, Italian coraggioso, English courageous. 	 
kuraĝe 	Adverb 	courageously, bravely 	  	 
kuraĝi 	Verb 	to dare 	  	 
kuraĝigi 	Verb 	(transitive) to encourage 	From kuraĝa +‎ -igi. 	 
kuraĝo 	Noun 	courage, bravery, boldness 	kuraĝ- + -o 	 
kuraĝulo 	Noun 	brave person, courageous person 	From kuraĝa +‎ -ulo. 	 
kuri 	Verb 	(intransitive) to run 	Borrowed from French courir and Latin currō (“run”). 	 
alkuri 	Verb 	(transitive, intransitive) to run toward or up to something 	From al- +‎ kuri. 	 
forkuri 	Verb 	to run away 	From for- +‎ kuri. 	 
glitkuri 	Verb 	(intransitive) to skate, go skating 	From gliti (“to slide”) +‎ kuri (“to run”). 	 
kuregi 	Verb 	to sprint 	From kuri (“to run”) +‎ -eg- (augmentative suffix). 	 
skikuri 	Verb 	(intransitive) to ski, go skiing 	From skio (“ski”, noun) +‎ kuri (“to run”). 	 
kuseno 	Noun 	cushion, pillow 	From French coussin. 	 
kuŝi 	Verb 	(intransitive) to lie, to recline (to be in a horizontal position) 	From French coucher. 	 
kuŝigi 	Verb 	(transitive) to lay 	From kuŝi +‎ -igi. 	 
kuŝiĝi 	Verb 	(intransitive) to lie down 	From kuŝi +‎ -iĝi. 	 
kutimo 	Noun 	custom, habit 	From French coutume. 	 
kutimi 	Verb 	(intransitive) to be accustomed to, be used to; to be in the habit of 	From kutimo (“custom, habit”) +‎ -i (verbal suffix). 	 
alkutimiĝi 	Verb 	(intransitive) to become accustomed, get used to; to get in the habit of 	From al- +‎ kutima +‎ -iĝi. 	 
kuzino 	Noun 	female cousin 	From French cousin, cousine, from Latin consobrinus. Reanalysed as kuzo (“(male) cousin”) +‎ -ino (“female”). 	 
prakuzino 	Noun 	female first cousin once removed 	From pra- +‎ kuzo +‎ -ino. 	 
kvanto 	Noun 	quantity 	From English quantity, French quantité, etc., ultimately from Latin quantitas. 	 
kvaranteni 	Verb 	(intransitive) to be in quarantine 	From kvaranteno +‎ -i, from French quarantaine, English quarantine, German Quarantaine, Russian карантинъ (karantin) and Polish kwarantanna. 	 
kvaranteno 	Noun 	quarantine 	From French quarantaine, English quarantine, German Quarantaine, Russian карантинъ (karantin), Polish kwarantanna. 	 
kvitanco 	Noun 	receipt 	From French quittance. 	 
laca 	Adjective 	tired, weary 	From French las. 	 
lacega 	Adjective 	exhausted 	laca +‎ -eg-. 	 
lacigi 	Verb 	(transitive) to tire, wear out [from 1890s] 	From laca +‎ -igi. 	 
laciga 	Adjective 	tiring, tedious, causing fatigue 	From lacigi +‎ -a. 	 
laciĝi 	Verb 	(intransitive) to get tired 	From laca +‎ -iĝi. 	 
senlaca 	Adjective 	tireless 	From sen- +‎ laca. 	 
lafo 	Noun 	(volcanology) lava 	From Italian lava, English lava, French lave, German Lava, Polish lawa, and Russian лава (lava). The letter v was changed to the letter f because the word lavi already means "to wash". 	 
laiko 	Noun 	layman, non-specialist 	From Italian laico and French laïc, cognate with Spanish laico, Portuguese leigo, Polish laik and English lay. 	 
lakso 	Noun 	diarrhea 	Back-formation from French laxatif. 	 
vortlakso 	Noun 	(derogatory, vulgar) blather; diarrhea of the mouth; logorrhea 	From vorto (“word”) +‎ lakso (“diarrhea”). 	 
lango 	Noun 	(anatomy) tongue 	From French langue. 	 
lanta 	Adjective 	(chiefly poetic) slow 	Borrowed from Ido lenta, from French lent, with the e changed to a so not to collide with lento. 	 
larĝa 	Adjective 	broad, wide 	From French large. 	 
larĝanima 	Adjective 	open-minded, broad-minded 	larĝa (“wide, broad”) +‎ animo (“soul”) +‎ -a. 	 
larĝe 	Adverb 	widely 	From larĝa +‎ -e. 	 
larmi 	Verb 	(intransitive) to shed tears, weep 	French larme, from Latin lācrima. 	 
larma 	Adjective 	teary 	  	 
larme 	Adverb 	tearily 	  	 
larmo 	Noun 	tear (a drop of liquid produced by the eye(s)) 	French larme, from Latin lācrima. 	 
larmi 	Verb 	(intransitive) to shed tears, weep 	French larme, from Latin lācrima. 	 
larmo 	Noun 	tear (a drop of liquid produced by the eye(s)) 	French larme, from Latin lācrima. 	 
lavi 	Verb 	(transitive) to wash, to launder 	From French laver, from Latin lavāre. 	 
lavmaŝino 	Noun 	washing machine 	From lavi (“to clean”) +‎ maŝino (“machine”). 	 
lavotabulo 	Noun 	washboard 	From lavi (“to wash”) +‎ tabulo (“board”). 	 
legomo 	Noun 	vegetable 	From French légume, Italian legume. 	 
lerta 	Adjective 	skillful 	From French alerte. 	 
lesivo 	Noun 	washing solution, detergent 	From French lessive. 	 
leŭtenanto 	Noun 	(military) lieutenant 	From French lieutenant, from lieu (“place”) + tenant (“holding”). 	 
ĉefleŭtenanto 	Noun 	(military) This term needs a translation to English. Please help out and add a translation, then remove the text {{rfdef}}. 	From ĉef- +‎ leŭtenanto (“lieutenant”). 	 
liberalismo 	Noun 	liberalism 	From French libéralisme. 	 
liceo 	Noun 	(France, Italy) secondary school 	Compare French lycée 	 
limako 	Noun 	slug (gastropod) 	French limace 	 
limonado 	Noun 	lemonade 	From French limonade. 	 
lito 	Noun 	bed (for sleeping) 	Borrowed from French lit. 	 
ellitiĝi 	Verb 	(intransitive) to get up, get out of bed 	From el- (“out of”) +‎ lito (“bed”) +‎ -iĝi (“become”). 	 
enlitiĝi 	Verb 	(intransitive) to go to bed 	From en- (“into”) +‎ lito (“bed”) +‎ -iĝi (“become”). 	 
loĝi 	Verb 	to live (in a dwelling); reside. 	Borrowed from French loger. 	 
enloĝi 	Verb 	to reside in 	From en- (“in”) +‎ loĝi (“to live, reside”). 	 
lojala 	Adjective 	loyal 	From French loyal, German loyal, English loyal. 	 
longa 	Adjective 	long 	From English and French long, from Latin longus. 	 
longiĝi 	Verb 	(intransitive) to be elongated, become longer 	From longa +‎ -iĝi. 	 
longitudo 	Noun 	(geography) longitude (imaginary lines from the North Pole to the South Pole) 	From Latin longitūdō (“length, longitude”) (which is derived from Latin longus (“long”)); from English longitude; from French longitude. 	 
lui 	Verb 	(transitive) to rent (something from someone) 	Borrowed from French louer. 	 
luigi 	Verb 	(transitive) to rent (something to someone) 	From lui (“to rent”) +‎ -igi. 	 
luo 	Noun 	rent 	From lui +‎ -o, from French louer. 	 
lundo 	Noun 	Monday, first day of the week (according to ISO 8601) 	Derived from French lundi. 	 
luo 	Noun 	rent 	From lui +‎ -o, from French louer. 	 
lutro 	Noun 	otter 	From French loutre and Latin lutra. 	 
lutra 	Adjective 	lutrine 	  	 
malgraŭ 	Preposition 	notwithstanding (someone's contrary wishes or some obstacle), in spite of, despite 	From Italian malgrado, French malgré + -aŭ. 	 
manĝi 	Verb 	to eat 	From French manger and Italian mangiare. 	 
almanĝi 	Verb 	to eat (snacks, sweets, etc. to accompany a drink) 	From al- +‎ manĝi. 	 
almanĝaĵo 	Noun 	snack or other food to accompany a drink 	From almanĝi +‎ -aĵo. 	 
formikomanĝulo 	Noun 	anteater 	From formiko (“ant”) +‎ manĝi (“to eat”) +‎ -ulo. 	 
manĝaĵo 	Noun 	food 	From manĝi (“to eat”) +‎ -aĵo (“thing”). 	 
manĝebla 	Adjective 	edible 	From manĝi +‎ -ebla. 	 
manĝigi 	Verb 	(transitive) to feed 	From manĝi +‎ -igi. 	 
maniero 	Noun 	manner, way 	From German Manier, French manière, Italian maniera. 	 
manki 	Verb 	(intransitive) to be lacking, be missing; to be wanting 	Borrowed from French manquer. 	 
manko 	Noun 	lack 	From manki +‎ -o. 	 
maratono 	Noun 	marathon 	From French marathon, from Ancient Greek Μαραθών (Marathṓn). 	 
mardo 	Noun 	Tuesday 	Derived from French mardi. 	 
marioneto 	Noun 	marionette 	From French marionnette. 	 
marŝi 	Verb 	(intransitive) to march 	Borrowed from French marcher. 	 
almarŝi 	Verb 	to march to or toward 	From al- +‎ marŝi. 	 
marŝo 	Noun 	walk 	From French marche, German Marsch. 	 
marŝo 	Noun 	walk 	From French marche, German Marsch. 	 
masaĝo 	Noun 	massage 	From French massage, reinforced by English massage, German Massage, Italian massaggio, etc. 	 
maŝino 	Noun 	machine 	Ultimately from Latin machina, under the influence of English machine, French machine, etc. 	 
mateno 	Noun 	morning 	From French matin, Italian mattino. 	 
frumatene 	Adverb 	in the early morning 	From frua (“early”) +‎ matene (“in the morning”). 	 
matena 	Adjective 	of or related to morning 	  	 
matene 	Adverb 	in the morning 	From mateno +‎ -e. 	 
ĉi-matene 	Adverb 	this morning 	ĉi (“this”) +‎ matene (“in the morning”) 	 
mateni 	Verb 	to be morning 	From mateno (“morning”) +‎ -i. 	 
matenlunĉo 	Noun 	brunch 	From mateno (“morning”) +‎ lunĉo (“lunch”). 	 
matenmanĝo 	Noun 	breakfast 	From mateno (“morning”) +‎ manĝo (“meal”). 	 
mava 	Adjective 	(literary) bad, wrong 	From French mauvais. 	 
meblo 	Noun 	item of furniture 	From French meuble. 	 
meblisto 	Noun 	cabinetmaker 	From meblo +‎ -isto. 	 
meĉo 	Noun 	wick, fuse 	Borrowed from French mèche. 	 
mensogo 	Noun 	a lie 	From Italian menzogna and French mensonge. 	 
merizo 	Noun 	sweet cherry (fruit of Prunus avium) 	From French merise. 	 
merkredo 	Noun 	Wednesday 	Derived from French mercredi. 	 
meti 	Verb 	to put, place 	Compare French mettre. 	 
almeti 	Verb 	to put on or near; to apply 	From al- +‎ meti. 	 
demeti 	Verb 	to lay aside 	  	 
enmeti 	Verb 	to put in, insert 	From en- +‎ meti. 	 
formeti 	Verb 	to put away 	From for- (“away”) +‎ meti (“put”). 	 
kunmeti 	Verb 	to put something together 	From kun- (“together”) +‎ meti (“to put, place”). 	 
metio 	Noun 	craft, trade 	From French métier. 	 
metiisto 	Noun 	artisan 	From metio +‎ -isto. 	 
nemetiisto 	Noun 	amateur 	From ne- +‎ metiisto. 	 
metroo 	Noun 	urban above‐ or belowground electric train system, metro 	From French métro. The extra o was added to differentiate from metro. 	 
metropoliteno 	Noun 	(formal) urban above‐ or belowground electric train system, metro 	From French métropolitain. 	 
minijupo 	Noun 	miniskirt 	Borrowed from French minijupe; analyzable as mini- +‎ jupo. 	 
mondo 	Noun 	world (the earth) 	From French monde. 	 
mondmilito 	Noun 	world war 	From mondo +‎ milito. 	 
mondumo 	Noun 	high society 	From mondo (“world”) +‎ -um-. 	 
submondo 	Noun 	underworld 	From sub- +‎ mondo. 	 
mono 	Noun 	money 	Borrowed from French monnaie and English money. 	 
monaŭtomato 	Noun 	an automated teller machine 	From mono +‎ aŭtomato. 	 
nutramono 	Noun 	(law) maintenance; alimony; child support 	From nutra +‎ mono. 	 
ŝanĝmono 	Noun 	change (money) 	From ŝanĝi (“to change”) +‎ mono (“money”). 	 
montri 	Verb 	to show, to indicate, to point out 	From French montrer, from Latin monstrare. 	 
almontri 	Verb 	to point at or towards, to indicate 	From al- +‎ montri. 	 
montrilo 	Noun 	hand (pointer of an analogue/analog clock) 	From montri +‎ -ilo. 	 
morala 	Adjective 	moral 	From French moral, from Latin mōrālis (“relating to manners or morals”). 	 
mordi 	Verb 	to bite 	Borrowed from French mordre, Latin mordeō. 	 
demordi 	Verb 	(transitive) to bite off 	From de +‎ mordi. 	 
moruo 	Noun 	cod, codfish 	Borrowed from French morue. 	 
muŝo 	Noun 	fly (insect) 	From French mouche. 	 
naĝi 	Verb 	to swim 	Borrowed from French nager. 	 
alnaĝi 	Verb 	to swim to 	From al- +‎ naĝi. 	 
naĝado 	Noun 	swimming 	From naĝi +‎ -ado. 	 
neĝo 	Noun 	snow 	Borrowed from French neige. 	 
neĝero 	Noun 	snowflake 	From neĝo (“snow”) +‎ -ero (“element”). 	 
neĝi 	Verb 	(weather) to snow 	From neĝo (“snow”) +‎ -i. 	 
neĝobulo 	Noun 	snowball 	From neĝo (“snow”) +‎ bulo (“ball”). 	 
nevo 	Noun 	nephew 	From French neveu, from Latin nepos, from Proto-Indo-European *h₂népōts. Doublet of nepo. 	 
nevino 	Noun 	niece 	From nevo (“nephew”) +‎ -ino (“female”). 	 
pranevino 	Noun 	grandniece 	From pra- (“great-”) +‎ nevo (“nephew”) +‎ -ino (“female”). 	 
pranevo 	Noun 	grandnephew 	From pra- (“great-”) +‎ nevo (“nephew”). 	 
nomado 	Noun 	nomad 	From English nomad, French nomade. 	 
nomada 	Adjective 	nomadic 	From nomado +‎ -a. 	 
novelo 	Noun 	short story 	From German Novelle, English novella, French nouvelle.[1] 	 
novelaro 	Noun 	anthology or collection of short stories 	From novelo +‎ -aro. 	 
novelisto 	Noun 	short story writer 	From novelo +‎ -isto. 	 
novnaziismo 	Noun 	neo-Nazism 	Calque of  French néonazisme, equivalent to nova (“new”) +‎ naziismo (“Nazism”). 	 
novnazio 	Noun 	neo-Nazi 	Calque of  French néo-nazi, equivalent to nova (“new”) +‎ nazio (“Nazi”). 	 
nuanco 	Noun 	nuance 	From English nuance, French nuance, Portuguese nuance, German Nuance, Russian нюа́нс (njuáns). 	 
omaro 	Noun 	lobster 	From Russian омар (omar), from French homard. 	 
ombrelo 	Noun 	umbrella 	From English umbrella or French ombrelle. 	 
sunombrelo 	Noun 	parasol 	  	 
ondo 	Noun 	wave 	Borrowed from French onde or Italian onda. 	 
onda 	Adjective 	wavy, waved 	From ondo +‎ -a. 	 
ondego 	Noun 	billow 	From ondo +‎ -eg-. 	 
onklo 	Noun 	uncle 	From French oncle, German Onkel, English uncle, ultimately from Latin avunculus. 	 
orelo 	Noun 	(anatomy) ear 	From French oreille 	 
ornitorinko 	Noun 	platypus 	Borrowed from French ornithorynque or Italian ornitorinco. 	 
ozono 	Noun 	(weather) ozone 	From French and English ozone, German Ozon, etc. 	 
paĝo 	Noun 	page 	From French and English page. 	 
pajlo 	Noun 	straw 	Borrowed from French paille. 	 
palto 	Noun 	overcoat, topcoat 	Probably from Polish or Russian, ultimately from French paletot. This etymology is incomplete. You can help Wiktionary by elaborating on the origins of this term. 	 
pantalono 	Noun 	(pair of) trousers, pants 	From French pantalon, English pantaloon. 	 
papavo 	Noun 	poppy 	From Latin papāver, perhaps influenced by French pavot. 	 
paraŝuto 	Noun 	parachute 	From French parachute. 	 
paraŝuti 	Verb 	(intransitive) to parachute 	  	 
pardoni 	Verb 	(transitive) to forgive, pardon 	From French pardonner, from a calque of a Germanic word. 	 
nepardonebla 	Adjective 	unpardonable 	From ne- +‎ pardoni +‎ -ebla. 	 
nepardoneble 	Adverb 	unpardonably 	From ne- +‎ pardoni +‎ -eble. 	 
pardonebla 	Adjective 	pardonable 	From pardoni +‎ -ebla. 	 
pardoneble 	Adverb 	pardonably 	From pardoni +‎ -eble. 	 
pardono 	Noun 	pardon, forgiveness 	From pardoni (“to pardon”) +‎ -o. 	 
parkere 	Adverb 	by heart 	From French par cœur 	 
partio 	Noun 	(politics) party 	Borrowed from French parti. 	 
senpartia 	Adjective 	(politics) independent (not affiliated with a political party) 	From sen- (“without”) +‎ partio (“political party”) +‎ -a. 	 
pavilono 	Noun 	pavilion (light ornate structure) 	Borrowed from French pavillon and German Pavillon. 	 
pendi 	Verb 	(intransitive) to hang, droop 	From French pendre. 	 
alpendigi 	Verb 	(transitive) to hang on (something) 	From al- +‎ pendi +‎ -igi. 	 
pendaĵo 	Noun 	something hanging; pendant 	From pendi +‎ -aĵo. 	 
pikniko 	Noun 	picnic 	From French pique-nique 	 
piko 	Noun 	(card games) the suit of spades, marked with the symbol ♠ 	From French pique. 	 
pinglo 	Noun 	pin 	From French épingle. 	 
alpingli 	Verb 	(transitive) to pin to or onto; to pin up 	From al- +‎ pinglo +‎ -i. 	 
plafono 	Noun 	ceiling 	From French plafond. 	 
plako 	Noun 	plate, photographic plate 	Borrowed from French plaque. 	 
plendi 	Verb 	To complain 	From French plaindre. 	 
plezuro 	Noun 	pleasure 	From French plaisir. 	 
malplezuro 	Noun 	displeasure 	From mal- +‎ plezuro. 	 
plezura 	Adjective 	pleasant, pleasing 	plezur- + -a 	 
plezuri 	Verb 	to pleasure, to please 	plezur- + -i 	 
plezuriga 	Adjective 	pleasurable 	From plezur- +‎ -ig- +‎ -a. 	 
pli 	Adverb 	more 	French plus. 	 
plori 	Verb 	(intransitive) to cry, to weep, to mourn 	From French pleurer. 	 
pojno 	Noun 	(anatomy) wrist 	Borrowed from French poignet. 	 
politeismo 	Noun 	polytheism 	From French polythéisme. 	 
poltrono 	Noun 	(literary, rare) coward 	From French poltron, perhaps via Ido poltrono. 	 
pomo 	Noun 	apple 	Borrowed from French pomme (“apple”). 	 
pomujo 	Noun 	a container for collecting apples, like a barrel or basket 	From pomo (“an apple”) +‎ -ujo (“container for”). 	 
ponto 	Noun 	bridge 	From French pont. 	 
portreto 	Noun 	portrait 	French portrait, reinforced by English portrait, German Portrait, etc. 	 
memportreto 	Noun 	self-portrait 	mem (“self”) +‎ portreto (“portrait”) 	 
poŝo 	Noun 	pocket 	Borrowed from French poche. 	 
poŝlampo 	Noun 	flashlight, torch (portable lamp) 	Compound of poŝo (“pocket”) +‎ lampo (“lamp”). 	 
poŝoŝtelisto 	Noun 	pickpocket 	From poŝo (“pocket”) +‎ ŝtelisto (“thief”) 	 
poŝtelefono 	Noun 	cell phone 	From poŝo (“pocket”) +‎ telefono (“telephone”) 	 
retpoŝtelefono 	Noun 	smartphone 	From reto +‎ poŝtelefono. 	 
poŝtuko 	Noun 	handkerchief 	From poŝo (“pocket”) +‎ tuko (“cloth”). 	 
preskaŭ 	Adverb 	almost, nearly 	Borrowed from French presque  +‎ -aŭ. 	 
preta 	Adjective 	ready, set (prepared) 	From French prêt. 	 
pretigi 	Verb 	(transitive) to prepare 	From preta +‎ -igi. 	 
pretiĝi 	Verb 	(intransitive) to prepare, get ready 	From preta +‎ -iĝi. 	 
preteksto 	Noun 	pretext 	Borrowed from French prétexte, from Latin praetextum (“an ornament, etc., wrought in front, a pretense”), neuter of praetextus, past participle of praetexere (“to weave before, fringe or border, allege”). 	 
prezo 	Noun 	price 	English price, French prix, German Preis 	 
printempo 	Noun 	spring (season) 	Borrowed from French printemps. 	 
promeni 	Verb 	(intransitive) to go for a walk; to stroll; to walk around 	From French promener. 	 
promeno 	Noun 	walk, promenade 	From promeni +‎ -o. 	 
prononci 	Verb 	(transitive) to pronounce (a word or name), articulate 	Borrowing from French prononcer. 	 
prononcebla 	Adjective 	pronounceable 	From prononci +‎ -ebla. 	 
prononco 	Noun 	pronunciation 	From prononci +‎ -o. 	 
protezo 	Noun 	prosthesis, prosthetic body part 	Borrowed from French prothèse, Russian проте́з (protéz), Polish proteza and German Prothese. 	 
pruno 	Noun 	plum 	Borrowed from French prune  +‎ -o. 	 
prunti 	Verb 	to borrow 	From French emprunter (“borrow”). 	 
pruvi 	Verb 	to prove 	From English prove; French prouver 	 
pseŭdonimo 	Noun 	pseudonym 	From French pseudonyme (“having a false name”), from Ancient Greek ψευδώνυμος (pseudṓnumos), from ψευδής (pseudḗs, “false”) and ὄνυμα (ónuma), from ὄνομα (ónoma, “name”). 	 
pudro 	Noun 	powder 	From French poudre, German Puder. 	 
puni 	Verb 	to punish 	Borrowed from French punir. 	 
monpuno 	Noun 	fine (money paid for breaking the law) 	From mono +‎ puno. 	 
rapiro 	Noun 	rapier 	From French rapière. 	 
raporto 	Noun 	report 	From French rapport. 	 
referenco 	Noun 	reference [from ca. 1900] 	Borrowed from French référence, English reference, German Referenz, etc. 	 
referenci 	Verb 	(intransitive, transitive) to refer (to) [+ al (to)] [from ca. 1920s] 	From referenco +‎ -i. 	 
reĝisoro 	Noun 	(film, television, theater) director 	From German Regisseur, from French régisseur. Compare also Dutch regisseur. 	 
relo 	Noun 	rail 	From English/French rail. 	 
rendevuo 	Noun 	encounter, meeting 	Borrowed from French rendez-vous. 	 
am-rendevuo 	Noun 	date (romantic encounter) 	amo +‎ rendevuo 	 
renkonti 	Verb 	(transitive) to meet, to encounter 	From French rencontre. 	 
revo 	Noun 	daydream 	Borrowed from French rêve  +‎ -o. 	 
revbildo 	Noun 	dream picture 	  	 
revolando 	Noun 	dreamland 	From revo +‎ lando. 	 
revuo 	Noun 	magazine (periodical) 	From French revue (“magazine”). 	 
riĉa 	Adjective 	rich 	Borrowed from English rich, French riche, Italian ricco and German reich. 	 
riĉeco 	Noun 	wealth 	From riĉa (“rich”) +‎ -eco. 	 
rigardi 	Verb 	to look at, behold, watch, view 	From French regarder, compare English regard. 	 
riproĉi 	Verb 	to reproach 	Borrowed from English reproach, French reprocher  +‎ -i. 	 
riski 	Verb 	to risk 	Compare French risquer, English risk, German riskieren. 	 
rizo 	Noun 	rice 	From French riz, from Old Italian riso, risi, from Byzantine Greek ὄρυζα (óruza). 	 
rizoplanto 	Noun 	rice plant 	rizo +‎ planto 	 
robo 	Noun 	dress (woman's garment) 	From French robe. 	 
romano 	Noun 	novel 	From Romo +‎ -ano. 	 
romanisto 	Noun 	novelist 	romano +‎ -isto 	 
ronda 	Adjective 	round 	Borrowed from French rond, from Latin rotundus. 	 
ronroni 	Verb 	(intransitive) to purr 	From French ronronner. 	 
rosti 	Verb 	to roast 	Borrowed from English roast, French rôtir. 	 
rostpano 	Noun 	toast 	From rosti (“to roast”) +‎ pano (“bread”). 	 
ruĝa 	Adjective 	red red colour:   	From French rouge 	 
